대표운영사,운영사구분,자조합 규모(백만원) 
엘비인베스트먼트,벤처투자회사,30000
아이엠엠인베스트먼트,벤처투자회사,15500
트라이던트앤파트너스,벤처투자회사,10500
한국투자파트너스,벤처투자회사,60000
대성창업투자,벤처투자회사,40000
보광인베스트먼트,벤처투자회사,35000
에스브이인베스트먼트,벤처투자회사,24920
유티씨인베스트먼트,벤처투자회사,15000
트라이던트앤파트너스,벤처투자회사,10000
포스코기술투자,신기술사,10000
엘앤에스벤처캐피탈,벤처투자회사,10000
아이엠엠인베스트먼트,벤처투자회사,10000
유니온투자파트너스,벤처투자회사,15000
동문파트너즈,LLC,34000
윈브릿지캐피탈,벤처투자회사,18144
이수창업투자,벤처투자회사,15000
미시간벤처캐피탈,벤처투자회사,10000
유니온투자파트너스,벤처투자회사,15000
산은캐피탈,신기술사,30000
프리미어파트너스,LLC,100000
신한벤처투자,벤처투자회사,30000
트루윈창업투자,벤처투자회사,15012
비에스케이인베스트먼트,벤처투자회사,10000
아이원인베스트,벤처투자회사,10000
한국투자파트너스,벤처투자회사,135000
나우아이비캐피탈,신기술사,30000
컴퍼니케이파트너스,벤처투자회사,10000
한국벤처투자,벤처투자회사,120000
키움인베스트먼트,벤처투자회사,20000
아이엠엠인베스트먼트,벤처투자회사,23000
신한벤처투자,벤처투자회사,63000
캡스톤파트너스,LLC,50000
아주아이비투자,신기술사,40000
엘비인베스트먼트,벤처투자회사,33000
에이티넘인베스트먼트,벤처투자회사,20000
유티씨인베스트먼트,벤처투자회사,20000
한국투자파트너스,벤처투자회사,75000
우리벤처파트너스,벤처투자회사,30000
엘비인베스트먼트,벤처투자회사,71500
파트너스인베스트먼트,벤처투자회사,30000
서울투자파트너스,벤처투자회사,16000
우리기술투자,신기술사,10000
마이벤처파트너스,벤처투자회사,10000
지앤텍벤처투자,벤처투자회사,10000
코오롱인베스트먼트,벤처투자회사,20000
미래에셋벤처투자,벤처투자회사,4200
캐피탈원,벤처투자회사,12000
일신창업투자,벤처투자회사,30500
대성창업투자,벤처투자회사,19500
미시간벤처캐피탈,벤처투자회사,10000
에스유앤피,벤처투자회사,37619
투썬인베스트,벤처투자회사,20000
티에스인베스트먼트,벤처투자회사,16600
이노폴리스파트너스,LLC,30000
유니온투자파트너스,벤처투자회사,123640
지온인베스트먼트,벤처투자회사,14000
보광인베스트먼트,벤처투자회사,8313
씨제이인베스트먼트,벤처투자회사,20000
이수창업투자,벤처투자회사,10000
인터베스트,벤처투자회사,110000
린드먼아시아인베스트먼트,벤처투자회사,100000
한국벤처투자,벤처투자회사,107000
유안타인베스트먼트,벤처투자회사,38000
아이엠엠인베스트먼트,벤처투자회사,50000
한화투자증권,신기술사,47500
스틱벤처스,벤처투자회사,138500
에스비브이에이,벤처투자회사,87500
에스엘인베스트먼트,벤처투자회사,50000
컴퍼니케이파트너스,벤처투자회사,20000
에이치비인베스트먼트,벤처투자회사,55000
에이티넘인베스트먼트,벤처투자회사,105720
한국투자파트너스,벤처투자회사,104800
엘비인베스트먼트,벤처투자회사,71600
한국벤처투자,벤처투자회사,10000
마젤란기술투자,벤처투자회사,10000
비에스케이인베스트먼트,벤처투자회사,10000
유니창업투자,벤처투자회사,5760
디에스씨인베스트먼트,벤처투자회사,10000
캡스톤파트너스,LLC,36000
쿨리지코너인베스트먼트,벤처투자회사,14500
미래에셋벤처투자,벤처투자회사,4000
트루윈창업투자,벤처투자회사,12000
케이투인베스트먼트파트너스,LLC,46500
한국벤처투자,벤처투자회사,5000
지온인베스트먼트,벤처투자회사,20000
한국벤처투자,벤처투자회사,5000
한국벤처투자,벤처투자회사,15250
대교인베스트먼트,벤처투자회사,10000
티에스인베스트먼트,벤처투자회사,30000
캐피탈원,벤처투자회사,10000
한국엔젤투자협회,기타운용사,5000
한국벤처투자,벤처투자회사,3000
한국벤처투자,벤처투자회사,33000
한국벤처투자,벤처투자회사,21000
플래티넘기술투자,벤처투자회사,10000
대덕인베스트먼트,벤처투자회사,11100
씨제이인베스트먼트,벤처투자회사,22500
대성창업투자,벤처투자회사,125000
씨케이디창업투자,벤처투자회사,7500
키움인베스트먼트,벤처투자회사,60000
우리벤처파트너스,벤처투자회사,8000
한국벤처투자,벤처투자회사,5000
우리벤처파트너스,벤처투자회사,115000
대성창업투자,벤처투자회사,20000
디에스씨인베스트먼트,벤처투자회사,20000
서울투자파트너스,벤처투자회사,10000
키움인베스트먼트,벤처투자회사,15500
에스제이투자파트너스,벤처투자회사,10000
엘앤에스벤처캐피탈,벤처투자회사,15000
에스엘인베스트먼트,벤처투자회사,15000
비에스케이인베스트먼트,벤처투자회사,20000
제이비인베스트먼트,신기술사,15000
한국벤처투자,벤처투자회사,5000
송현인베스트먼트,벤처투자회사,30000
센트럴투자파트너스,벤처투자회사,21000
아이엠엠인베스트먼트,벤처투자회사,53000
윈브릿지캐피탈,벤처투자회사,15000
카카오벤처스,벤처투자회사,30000
우리벤처파트너스,벤처투자회사,20000
지앤텍벤처투자,벤처투자회사,30000
미래에셋벤처투자,벤처투자회사,18000
티에스인베스트먼트,벤처투자회사,16000
한국투자파트너스,벤처투자회사,80000
스마일게이트인베스트먼트,벤처투자회사,30000
인터베스트,벤처투자회사,100000
한국벤처투자,벤처투자회사,759955
포스코기술투자,신기술사,6000
키움인베스트먼트,벤처투자회사,20000
알바트로스인베스트먼트,벤처투자회사,17000
