대표운영사,운영사구분,자조합 규모(백만원) 
데브시스터즈벤처스,벤처투자회사,10000
이에스인베스터,벤처투자회사,10000
에스제이투자파트너스,벤처투자회사,18000
비엔에이치인베스트먼트,LLC,49500
퀀텀벤처스코리아,벤처투자회사,21300
이앤벤처파트너스,벤처투자회사,20000
제이엑스파트너스,벤처투자회사,20000
한국벤처투자,벤처투자회사,50600
한국벤처투자,벤처투자회사,110000
데브시스터즈벤처스,벤처투자회사,20000
메이플투자파트너스,벤처투자회사,20500
미시간벤처캐피탈,벤처투자회사,35000
케이비인베스트먼트,벤처투자회사,40000
마그나인베스트먼트,벤처투자회사,28000
대성창업투자,벤처투자회사,17000
전북지역대학연합기술지주,기타운용사,12500
스마일게이트인베스트먼트,벤처투자회사,129000
가이아벤처파트너스,LLC,10010
케이앤투자파트너스,벤처투자회사,32500
라구나인베스트먼트,벤처투자회사,14000
포스코기술투자,신기술사,22000
인터베스트,벤처투자회사,158500
아이디어브릿지자산운용,기타운용사,14700
케이그라운드벤처스,LLC,17910
데일리파트너스,벤처투자회사,24700
어니스트벤처스,LLC,19000
엘앤에스벤처캐피탈,벤처투자회사,20500
씨케이디창업투자,벤처투자회사,23500
이노폴리스파트너스,LLC,25600
서울투자파트너스,벤처투자회사,34000
트랜스링크인베스트먼트,벤처투자회사,27250
엘에스케이인베스트먼트,벤처투자회사,45000
메디톡스벤처투자,벤처투자회사,30000
티인베스트먼트,벤처투자회사,30000
인터밸류파트너스,벤처투자회사,20000
스퀘어벤처스,LLC,20510
패스파인더에이치,벤처투자회사,20000
비에이파트너스,LLC,22000
에이벤처스,벤처투자회사,20000
오픈워터인베스트먼트,벤처투자회사,15000
동훈인베스트먼트,벤처투자회사,15000
스톤브릿지벤처스,벤처투자회사,126500
린드먼아시아인베스트먼트,벤처투자회사,50100
에스비아이인베스트먼트,벤처투자회사,53000
제이비인베스트먼트,신기술사,50000
에이치비인베스트먼트,벤처투자회사,40000
코리아에셋투자증권,신기술사,30000
이앤벤처파트너스,벤처투자회사,20000
마그나인베스트먼트,벤처투자회사,25000
케이비인베스트먼트,벤처투자회사,15000
대성창업투자,벤처투자회사,15000
디쓰리쥬빌리파트너스,벤처투자회사,30850
비하이인베스트먼트,LLC,15000
대교인베스트먼트,벤처투자회사,22000
나우아이비캐피탈,신기술사,100000
수인베스트먼트캐피탈,벤처투자회사,60000
삼호그린인베스트먼트,벤처투자회사,50530
얼머스인베스트먼트,신기술사,30000
대덕벤처파트너스,LLC,23000
보광인베스트먼트,벤처투자회사,15000
피앤아이인베스트먼트,벤처투자회사,10800
일신창업투자,벤처투자회사,22000
마이다스동아인베스트먼트,벤처투자회사,11500
대교인베스트먼트,벤처투자회사,20005
에스투엘파트너스,기타운용사,11000
이앤벤처파트너스,벤처투자회사,13000
아이엠투자파트너스,벤처투자회사,15000
캐피탈원,벤처투자회사,14500
에스비브이에이,벤처투자회사,341020
연세대학교기술지주,기타운용사,3500
대경지역대학공동기술지주,기타운용사,5050
부산대학교기술지주,기타운용사,4200
에트리홀딩스,기타운용사,9000
한국과학기술지주,기타운용사,11300
서울대학교기술지주,기타운용사,9000
고려대학교기술지주,기타운용사,5000
케이제이앤투자파트너스,LLC,30000
미시간벤처캐피탈,벤처투자회사,19000
보광인베스트먼트,벤처투자회사,15000
엔벤처스,벤처투자회사,27500
유니온투자파트너스,벤처투자회사,30000
쏠레어파트너스,LLC,19300
스마일게이트인베스트먼트,벤처투자회사,15000
아이디벤처스,벤처투자회사,30000
피앤피인베스트먼트,벤처투자회사,17000
포항공과대학교기술지주,기타운용사,5000
미래과학기술지주,기타운용사,7000
대경지역대학공동기술지주,기타운용사,4300
엠와이소셜컴퍼니,기타운용사,2000
컴퍼니케이파트너스,벤처투자회사,127000
캡스톤파트너스,벤처투자회사,7200
라구나인베스트먼트,벤처투자회사,12300
마이다스동아인베스트먼트,벤처투자회사,20000
아이디벤처스,벤처투자회사,15000
원익투자파트너스,벤처투자회사,31000
케이티인베스트먼트,신기술사,17000
대성창업투자,벤처투자회사,10000
다올프라이빗에쿼티 주식회사,기타운용사,111000
마젤란기술투자,벤처투자회사,30000
위벤처스,LLC,16000
케이앤투자파트너스,벤처투자회사,16100
로이투자파트너스,벤처투자회사,10000
로이투자파트너스,벤처투자회사,10000
나이스투자파트너스,신기술사,22000
한화투자증권,신기술사,21700
스톤브릿지벤처스,벤처투자회사,76500
유티씨인베스트먼트,벤처투자회사,50800
퀀텀벤처스코리아,벤처투자회사,49700
이에스인베스터,벤처투자회사,15000
숭실대학교기술지주,기타운용사,1700
전남대학교기술지주회사,기타운용사,4000
벤처박스,기타운용사,1002
한양대학교기술지주회사,기타운용사,1000
유안타인베스트먼트,벤처투자회사,125000
이앤인베스트먼트,신기술사,21500
포스코기술투자,신기술사,26000
더웰스인베스트먼트,벤처투자회사,25000
알바트로스인베스트먼트,벤처투자회사,14000
메이플투자파트너스,벤처투자회사,20500
케이브릿지인베스트먼트,LLC,21720
NBH캐피탈,신기술사,12200
라이트하우스컴바인인베스트,벤처투자회사,10200
패스파인더에이치,벤처투자회사,17000
센트럴투자파트너스,벤처투자회사,40000
코나벤처파트너스,LLC,30000
라구나인베스트먼트,벤처투자회사,15860
넥스트지인베스트먼트,벤처투자회사,30000
가이아벤처파트너스,LLC,20000
이수창업투자,벤처투자회사,21500
마이다스동아인베스트먼트,벤처투자회사,15000
이크럭스벤처파트너스,LLC,11650
유니온투자파트너스,벤처투자회사,26000
씨제이인베스트먼트,벤처투자회사,18600
이수창업투자,벤처투자회사,15200
코오롱인베스트먼트,벤처투자회사,67500
마이스터프라이빗에쿼티,기타운용사,10000
케이씨벤처스,벤처투자회사,16400
미시간벤처캐피탈,벤처투자회사,30000
린드먼아시아인베스트먼트,벤처투자회사,80100
에이비즈파트너스,기타운용사,100000
티에스인베스트먼트,벤처투자회사,119300
하나벤처스,신기술사,65000
메티스톤에퀴티파트너스,기타운용사,91500
임팩트스퀘어,기타운용사,5800
쿨리지코너인베스트먼트,벤처투자회사,10000
비하이인베스트먼트,LLC,30000
우리벤처파트너스,벤처투자회사,281000
케이비인베스트먼트,벤처투자회사,200000
에이벤처스,벤처투자회사,30000
에프엠씨인베스트먼트,벤처투자회사,13500
비엔케이벤처투자,벤처투자회사,16540
어니스트벤처스,LLC,20000
데브시스터즈벤처스,벤처투자회사,20000
비에스케이인베스트먼트,벤처투자회사,33400
케이티인베스트먼트,신기술사,24000
제이비인베스트먼트,신기술사,20000
인비저닝파트너스,LLC,15800
케이앤투자파트너스,벤처투자회사,15500
인사이트에퀴티파트너스,LLC,20000
비에이파트너스,LLC,20000
위벤처스,LLC,57800
인라이트벤처스,LLC,22000
티비티,벤처투자회사,33000
티인베스트먼트,벤처투자회사,37100
엘에스케이인베스트먼트,벤처투자회사,55000
제이비인베스트먼트,신기술사,25000
에스제이투자파트너스,벤처투자회사,75000
인터베스트,벤처투자회사,38000
키움인베스트먼트,벤처투자회사,30000
디티앤인베스트먼트,벤처투자회사,54850
마그나인베스트먼트,벤처투자회사,25000
에스엘인베스트먼트,벤처투자회사,75000
미래에셋벤처투자,벤처투자회사,80100
스톤브릿지벤처스,벤처투자회사,146000
스틱벤처스,벤처투자회사,102500
프리미어파트너스,LLC,90000
한국투자파트너스,벤처투자회사,350000
스마일게이트인베스트먼트,벤처투자회사,20000
비엔케이벤처투자,벤처투자회사,15400
미래과학기술지주,기타운용사,6000
카이스트청년창업투자지주,기타운용사,5000
부산지역대학연합기술지주,기타운용사,5000
포항공과대학교기술지주,기타운용사,7500
충남대학교기술지주,기타운용사,3000
뉴패러다임인베스트먼트,기타운용사,6000
씨엔티테크,기타운용사,3400
인포뱅크,기타운용사,6000
퓨처플레이,기타운용사,5500
제피러스랩,기타운용사,5400
울산창조경제혁신센터,기타운용사,4000
시리즈벤처스,기타운용사,5010
로우파트너스,기타운용사,1530
국민대학교기술지주,기타운용사,2040
카이스트청년창업투자지주,기타운용사,3000
미래과학기술지주,기타운용사,5000
포항공과대학교기술지주,기타운용사,4000
벤처박스,기타운용사,1002
연세대학교기술지주,기타운용사,5000
한국벤처투자,벤처투자회사,51000
서울대학교기술지주,기타운용사,9000
스마일게이트인베스트먼트,벤처투자회사,48750
인라이트벤처스,LLC,14300
에이티유파트너스,기타법인,5100
대성창업투자,벤처투자회사,19000
이앤인베스트먼트,신기술사,130000
한화투자증권,신기술사,5600
인피니툼파트너스,LLC,14300
한국벤처투자,벤처투자회사,91001
인터밸류파트너스,벤처투자회사,37000
비엔에이치인베스트먼트,LLC,61200
유니온투자파트너스,벤처투자회사,50500
어니스트벤처스,LLC,18500
비에스케이인베스트먼트,벤처투자회사,48500
마그나인베스트먼트,벤처투자회사,25200
현대기술투자,벤처투자회사,23000
케이넷투자파트너스,LLC,59900
신한벤처투자,벤처투자회사,19900
소풍벤처스,기타운용사,3235
경남벤처투자,벤처투자회사,20000
블루포인트파트너스,기타운용사,12000
어니스트벤처스,LLC,12500
이에스인베스터,벤처투자회사,12600
인텔렉추얼디스커버리,기타법인,20000
클레어보이언트벤처스,벤처투자회사,57500
메이플투자파트너스,벤처투자회사,20500
킹고투자파트너스,신기술사,27000
에스비파트너스,신기술사,15190
대교인베스트먼트,벤처투자회사,20000
무신사파트너스,벤처투자회사,20210
본엔젤스벤처파트너스,벤처투자회사,22000
스톤브릿지벤처스,벤처투자회사,26500
스프링캠프,벤처투자회사,28000
시그나이트,벤처투자회사,50000
위벤처스,LLC,27300
토니인베스트먼트,신기술사,12500
코나벤처파트너스,LLC,34400
크릿벤처스,벤처투자회사,12500
인텔렉추얼디스커버리,기타법인,20700
엘앤에스벤처캐피탈,벤처투자회사,20000
스파크랩,기타운용사,10000
스파크랩,기타운용사,12500
씨제이인베스트먼트,벤처투자회사,24000
쿨리지코너인베스트먼트,벤처투자회사,25000
케이앤투자파트너스,벤처투자회사,26000
비엔케이벤처투자,벤처투자회사,20000
수인베스트먼트캐피탈,벤처투자회사,40000
컴퍼니케이파트너스,벤처투자회사,100000
디티앤인베스트먼트,벤처투자회사,40000
하나벤처스,신기술사,54000
스퀘어벤처스,LLC,10000
라구나인베스트먼트,벤처투자회사,50000
에이벤처스,벤처투자회사,73500
인사이트에퀴티파트너스,LLC,31800
유티씨인베스트먼트,벤처투자회사,135000
비엔케이벤처투자,벤처투자회사,35000
삼호그린인베스트먼트,벤처투자회사,30000
어센도벤처스,LLC,38700
라이트하우스컴바인인베스트,벤처투자회사,23000
제피러스랩,기타운용사,10000
서울투자파트너스,벤처투자회사,12500
위벤처스,LLC,53000
씨제이인베스트먼트,벤처투자회사,28000
인피니툼파트너스,LLC,13650
코오롱인베스트먼트,벤처투자회사,195000
에스브이인베스트먼트,벤처투자회사,200000
키움인베스트먼트,벤처투자회사,140000
에스비아이인베스트먼트,벤처투자회사,50000
엘앤에스벤처캐피탈,벤처투자회사,30000
케이런벤처스,LLC,33400
토니인베스트먼트,신기술사,20000
티인베스트먼트,벤처투자회사,37500
코리아에셋투자증권,신기술사,40000
나우아이비캐피탈,신기술사,30000
심본투자파트너스,LLC,15000
캡스톤파트너스,벤처투자회사,30000
하나벤처스,신기술사,45000
블루포인트파트너스,기타운용사,9600
아주아이비투자,신기술사,14500
이에스인베스터,벤처투자회사,15550
대덕벤처파트너스,LLC,14500
비에이파트너스,LLC,20000
한국벤처투자,벤처투자회사,20500
티인베스트먼트,벤처투자회사,10300
인바이츠벤처스,신기술사,12500
롯데벤처스,신기술사,17200
센트럴투자파트너스,벤처투자회사,42000
스마트스터디벤처스,벤처투자회사,38500
쏠레어파트너스,LLC,24300
유니온투자파트너스,벤처투자회사,35000
케이씨벤처스,벤처투자회사,20000
코나벤처파트너스,LLC,25860
가이아벤처파트너스,LLC,15060
씨제이인베스트먼트,벤처투자회사,15200
로간벤처스,LLC,12200
에스제이투자파트너스,벤처투자회사,65010
인피니툼파트너스,LLC,18500
씨케이디창업투자,벤처투자회사,52000
아이엠투자파트너스,벤처투자회사,30000
퀀텀벤처스코리아,벤처투자회사,30500
케이앤투자파트너스,벤처투자회사,22500
센트럴투자파트너스,벤처투자회사,16700
아이엠투자파트너스,벤처투자회사,26000
대교인베스트먼트,벤처투자회사,25000
케이티인베스트먼트,신기술사,20000
에버그린투자파트너스,LLC,43100
서울대학교기술지주,기타운용사,10100
씨엔티테크,기타운용사,4300
퓨처플레이,기타운용사,29750
메이플투자파트너스,벤처투자회사,50000
어니스트벤처스,LLC,51020
충남대학교기술지주,기타운용사,2000
특허법인지원,기타운용사,2700
한밭대학교기술지주,기타법인,1100
연세대학교기술지주,기타운용사,4400
전남대학교기술지주회사,기타운용사,4000
고려대학교기술지주,기타운용사,5000
포항공과대학교기술지주,기타운용사,5000
고려대학교기술지주,기타운용사,4000
뉴패러다임인베스트먼트,기타운용사,11100
인포뱅크,기타운용사,7000
강수현,개인,5380
킹슬리벤처스,기타운용사,6000
씨앤벤처파트너스,LLC,5250
로간벤처스,LLC,13700
피앤아이인베스트먼트,벤처투자회사,13000
쏠레어파트너스,LLC,30000
가이아벤처파트너스,LLC,13140
스마일게이트인베스트먼트,벤처투자회사,47000
미래과학기술지주,기타운용사,20000
케이앤투자파트너스,벤처투자회사,19000
경남벤처투자,벤처투자회사,17600
디쓰리쥬빌리파트너스,벤처투자회사,28500
브이엘인베스트먼트,기타운용사,35300
시그나이트,벤처투자회사,30000
로이투자파트너스,벤처투자회사,13000
스마일게이트인베스트먼트,벤처투자회사,39000
쿼드벤처스,벤처투자회사,22000
엔브이씨파트너스,벤처투자회사,10600
위벤처스,LLC,12500
데브시스터즈벤처스,벤처투자회사,16650
대성창업투자,벤처투자회사,15000
미시간벤처캐피탈,벤처투자회사,33300
피앤피인베스트먼트,벤처투자회사,14000
한국벤처투자,벤처투자회사,91500
센트럴투자파트너스,벤처투자회사,13000
라이트하우스컴바인인베스트,벤처투자회사,14300
엠와이소셜컴퍼니,기타운용사,6000
전북지역대학연합기술지주,기타운용사,3000
대경지역대학공동기술지주,기타운용사,4000
토니인베스트먼트,신기술사,40000
한국벤처투자,벤처투자회사,91200
비비드인베스트먼트,LLC,23400
아이디벤처스,벤처투자회사,27000
주식회사 스타셋인베스트먼트,기타운용사,53000
우리벤처파트너스,벤처투자회사,55000
파라투스인베스트먼트,벤처투자회사,194500
파트너스인베스트먼트,벤처투자회사,90000
아이엠엠인베스트먼트,벤처투자회사,106566
인터밸류파트너스,벤처투자회사,34000
인터베스트,벤처투자회사,55000
스톤브릿지벤처스,벤처투자회사,200000
스틱벤처스,벤처투자회사,257000
한국엔젤투자협회,기타운용사,5000
한국엔젤투자협회,기타운용사,5000
쿨리지코너인베스트먼트,벤처투자회사,12500
임팩트스퀘어,기타운용사,6000
패스파인더에이치,벤처투자회사,18000
스파크랩,기타운용사,15200
킹슬리벤처스,기타운용사,16150
수인베스트먼트캐피탈,벤처투자회사,10000
포항공과대학교기술지주,기타운용사,29500
보광인베스트먼트,벤처투자회사,17600
서울투자파트너스,벤처투자회사,30000
동문파트너즈,LLC,16700
오라클벤처투자,벤처투자회사,10000
한국벤처투자,벤처투자회사,84900
한화투자증권,신기술사,103000
현대투자파트너스,신기술사,37000
뮤어우즈벤처스,LLC,20210
브이플랫폼인베스트먼트,벤처투자회사,21750
비전에쿼티파트너스,LLC,12000
유니온투자파트너스,벤처투자회사,14700
루트벤처스,벤처투자회사,15000
롯데벤처스,신기술사,30400
제이비인베스트먼트,신기술사,20000
메디톡스벤처투자,벤처투자회사,20000
안다아시아벤처스,벤처투자회사,25350
데일리파트너스,벤처투자회사,50000
비엔에이치인베스트먼트,LLC,118500
트랜스링크인베스트먼트,벤처투자회사,75000
본엔젤스벤처파트너스,벤처투자회사,145000
우리벤처파트너스,벤처투자회사,307600
케이비인베스트먼트,벤처투자회사,157000
나우아이비캐피탈,신기술사,28000
수인베스트먼트캐피탈,벤처투자회사,16700
코메스인베스트먼트,벤처투자회사,30000
플래티넘기술투자,벤처투자회사,31000
위벤처스,LLC,75300
대성창업투자,벤처투자회사,25000
뮤렉스파트너스,LLC,50800
비에이파트너스,LLC,30000
보광인베스트먼트,벤처투자회사,12300
에스비파트너스,신기술사,10000
이에스인베스터,벤처투자회사,20000
일신창업투자,벤처투자회사,30000
지온인베스트먼트,벤처투자회사,25000
케이넷투자파트너스,LLC,101500
피앤아이인베스트먼트,벤처투자회사,10000
케이앤투자파트너스,벤처투자회사,40030
씨엔티테크,기타운용사,4500
와이앤아처,기타운용사,4500
케이씨벤처스,벤처투자회사,37000
유니온투자파트너스,벤처투자회사,17500
아이엠투자파트너스,벤처투자회사,33150
스마트스터디벤처스,벤처투자회사,37000
이에스인베스터,벤처투자회사,17000
티인베스트먼트,벤처투자회사,41700
경북대학교기술지주,기타운용사,2000
벤처박스,기타운용사,3000
카이스트청년창업투자지주,기타운용사,5500
부산대학교기술지주,기타운용사,3500
한양대학교기술지주회사,기타운용사,5170
서울대학교기술지주,기타운용사,5550
로우파트너스,기타운용사,5100
퍼스트게이트,기타운용사,5000
아이디벤처스,벤처투자회사,46000
스마일게이트인베스트먼트,벤처투자회사,43000
마이다스동아인베스트먼트,벤처투자회사,30000
토니인베스트먼트,신기술사,30000
패스파인더에이치,벤처투자회사,30000
비엔케이투자증권,신기술사,30000
나우아이비캐피탈,신기술사,22000
이앤벤처파트너스,벤처투자회사,27000
키움인베스트먼트,벤처투자회사,50400
엘앤에스벤처캐피탈,벤처투자회사,45000
데브시스터즈벤처스,벤처투자회사,30000
엘에스케이인베스트먼트,벤처투자회사,46000
우리벤처파트너스,벤처투자회사,43500
타임웍스인베스트먼트,벤처투자회사,27000
쿼드벤처스,벤처투자회사,20000
스케일업파트너스,LLC,27300
알파원인베스트먼트,벤처투자회사,17300
인포뱅크,기타운용사,17500
뉴패러다임인베스트먼트,기타운용사,11600
시리즈벤처스,기타운용사,10000
씨엔티테크,기타운용사,5520
경기창조경제혁신센터,기타운용사,5100
탭엔젤파트너스,기타운용사,4050
울산창조경제혁신센터,기타운용사,4000
포항공과대학교기술지주,기타운용사,5000
카이스트청년창업투자지주,기타운용사,10000
서울대학교기술지주,기타운용사,5550
광주지역대학연합기술지주,기타운용사,3100
위벤처스,LLC,51000
얼머스인베스트먼트,신기술사,45000
와이어드 파트너스(주),기타법인,21500
에코프로파트너스,벤처투자회사,11000
충북창조경제혁신센터,기타운용사,5500
한국엔젤투자협회,기타운용사,5000
와이앤아처,기타운용사,5020
제이씨에이치인베스트먼트,벤처투자회사,8370
경남벤처투자,벤처투자회사,6150
엔브이씨파트너스,벤처투자회사,5500
울산창조경제혁신센터,기타운용사,5000
한국벤처투자,벤처투자회사,20500
한국벤처투자,벤처투자회사,80900
키로스벤처투자,벤처투자회사,20000
보광인베스트먼트,벤처투자회사,28600
펜처인베스트,벤처투자회사,20100
대성창업투자,벤처투자회사,110000
쿨리지코너인베스트먼트,벤처투자회사,20000
비엔케이벤처투자,벤처투자회사,30000
스마일게이트인베스트먼트,벤처투자회사,20000
다올프라이빗에쿼티 주식회사,기타운용사,143300
신한벤처투자,벤처투자회사,60000
호라이즌인베스트먼트,LLC,24760
씨엔티테크,기타운용사,12000
퓨처플레이,기타운용사,12400
제이엑스파트너스,벤처투자회사,17000
유안타인베스트먼트,벤처투자회사,150000
뮤렉스파트너스,LLC,131600
유니온투자파트너스,벤처투자회사,40500
퀀텀벤처스코리아,벤처투자회사,54000
케이그라운드벤처스,LLC,30200
인탑스인베스트먼트,신기술사,20000
바인벤처스,벤처투자회사,22800
연세대학교기술지주,기타운용사,30000
아이엠엠인베스트먼트,벤처투자회사,55500
에스지씨파트너스,벤처투자회사,25000
유티씨인베스트먼트,벤처투자회사,34000
아이엠투자파트너스,벤처투자회사,30000
한국벤처투자,벤처투자회사,59400
한국벤처투자,벤처투자회사,90306
에이치비인베스트먼트,벤처투자회사,36000
토니인베스트먼트,신기술사,35000
에이벤처스,벤처투자회사,32000
티인베스트먼트,벤처투자회사,40500
케이티인베스트먼트,신기술사,64500
에이스톤벤처스,LLC,21850
로간벤처스,LLC,17200
아이엠투자파트너스,벤처투자회사,17000
대덕벤처파트너스,LLC,17000
원익투자파트너스,벤처투자회사,22000
코나벤처파트너스,LLC,30000
가이아벤처파트너스,LLC,26070
케이제이앤투자파트너스,LLC,30000
아이디벤처스,벤처투자회사,30000
에이티유파트너스,기타법인,44000
나우아이비캐피탈,신기술사,33500
데브시스터즈벤처스,벤처투자회사,30000
캡스톤파트너스,벤처투자회사,32000
로간벤처스,LLC,17400
오픈워터인베스트먼트,벤처투자회사,30000
대교인베스트먼트,벤처투자회사,21510
프롤로그벤처스,신기술사,28500
메이플투자파트너스,벤처투자회사,25500
쏠레어파트너스,LLC,21120
센트럴투자파트너스,벤처투자회사,20100
인피니툼파트너스,LLC,18400
상상이비즈,기타운용사,4000
씨엔티테크,기타운용사,4000
인피니툼파트너스,LLC,21500
코스넷기술투자,벤처투자회사,21500
어니스트벤처스,LLC,27000
엠와이소셜컴퍼니,기타운용사,10000
강원대학교기술지주회사,기타운용사,2800
고려대학교기술지주,기타운용사,4100
미래과학기술지주,기타운용사,4600
부산대학교기술지주,기타운용사,3000
인포뱅크,기타운용사,8300
고려대학교기술지주,기타운용사,5050
메디치인베스트먼트,벤처투자회사,10000
현대차증권,신기술사,77500
가이아벤처파트너스,LLC,14500
에스비파트너스,신기술사,30000
오라클벤처투자,벤처투자회사,20000
지유투자,LLC,16750
인라이트벤처스,벤처투자회사,20000
한국벤처투자,벤처투자회사,22800
라구나인베스트먼트,벤처투자회사,58100
티에스인베스트먼트,벤처투자회사,110000
삼호그린인베스트먼트,벤처투자회사,55000
얼머스인베스트먼트,신기술사,50000
신한벤처투자,벤처투자회사,100000
인터베스트,벤처투자회사,55000
스톤브릿지벤처스,벤처투자회사,60000
비에이파트너스,LLC,21000
비에스케이인베스트먼트,벤처투자회사,36000
크로스로드파트너스,벤처투자회사,20050
제이씨에이치인베스트먼트,벤처투자회사,22300
엑스퀘어드,벤처투자회사,25000
아주아이비투자,신기술사,100000
코오롱인베스트먼트,벤처투자회사,74000
삼호그린인베스트먼트,벤처투자회사,40800
퓨처플레이,벤처투자회사,42000
에스벤처스,벤처투자회사,30000
크로스로드파트너스,벤처투자회사,20050
티케인베스트먼트,벤처투자회사,20508
뮤어우즈벤처스,LLC,22230
센트럴투자파트너스,벤처투자회사,20100
케이앤투자파트너스,벤처투자회사,20000
신한자산운용,기타운용사,38000
NH헤지자산운용,기타운용사,40000
프리미어파트너스,LLC,156630
인터밸류파트너스,벤처투자회사,21500
지앤텍벤처투자,벤처투자회사,33500
오엔벤처투자,벤처투자회사,34000
오거스트벤처파트너스,LLC,11820
피앤아이인베스트먼트,벤처투자회사,45000
스케일업파트너스,LLC,27400
메인스트리트벤처스,벤처투자회사,31500
호라이즌인베스트먼트,LLC,22230
스닉픽인베스트먼트,벤처투자회사,20000
노틸러스인베스트먼트,벤처투자회사,17000
노보섹인베스트먼트,벤처투자회사,20000
쿼드벤처스,벤처투자회사,24200
타임웍스인베스트먼트,벤처투자회사,31000
에코프로파트너스,벤처투자회사,30000
비엠벤처스,LLC,15000
키움인베스트먼트,벤처투자회사,125000
위벤처스,LLC,67700
엘에프인베스트먼트,신기술사,21000
엠와이소셜컴퍼니,기타운용사,19250
마그나인베스트먼트,벤처투자회사,17200
비엔케이투자증권,신기술사,25500
바로벤처스,신기술사,26000
한국벤처투자,벤처투자회사,101100
한국벤처투자,벤처투자회사,8100
코오롱인베스트먼트,벤처투자회사,25000
에이치비인베스트먼트,벤처투자회사,74600
이에스인베스터,벤처투자회사,20500
에버그린투자파트너스,LLC,30000
코메스인베스트먼트,벤처투자회사,40000
알바트로스인베스트먼트,벤처투자회사,27500
킹고투자파트너스,신기술사,21000
스마일게이트인베스트먼트,벤처투자회사,25000
대교인베스트먼트,벤처투자회사,17000
에스비아이인베스트먼트,벤처투자회사,34400
세마인베스트먼트,벤처투자회사,30500
대경지역대학공동기술지주,기타운용사,6000
부산창조경제혁신센터,기타운용사,3000
충남창조경제혁신센터,기타운용사,5130
한국과학기술지주,기타운용사,6000
크립톤,기타운용사,5000
전남대학교기술지주회사,기타운용사,5000
울산창조경제혁신센터,기타운용사,3850
엠와이소셜컴퍼니,기타운용사,3500
시리즈벤처스,기타운용사,3000
와이앤아처,기타운용사,2000
로우파트너스,기타운용사,5000
웰컴벤처스,벤처투자회사,10000
와디즈파트너스,벤처투자회사,5000
미래과학기술지주,벤처투자회사,8500
라이징에스벤처스,벤처투자회사,10000
서울투자파트너스,벤처투자회사,21600
탭엔젤파트너스,기타운용사,7000
넥스트지인베스트먼트,벤처투자회사,51000
에스비아이인베스트먼트,벤처투자회사,60000
케이씨벤처스,벤처투자회사,50000
펜처인베스트,벤처투자회사,50050
노틱인베스트먼트,기타운용사,100000
유니온투자파트너스,벤처투자회사,40000
스마트스터디벤처스,벤처투자회사,38500
일신창업투자,벤처투자회사,37500
코나벤처파트너스,LLC,37500
한국투자파트너스,벤처투자회사,40000
인라이트벤처스,벤처투자회사,33400
현대기술투자,벤처투자회사,33800
솔트룩스벤처스,벤처투자회사,23300
펜처인베스트,벤처투자회사,42000
키로스벤처투자,벤처투자회사,27000
가이아벤처파트너스,LLC,27080
플랜에이치벤처스,벤처투자회사,38500
NBH캐피탈,신기술사,32150
상상이비즈,기타운용사,5000
에이씨패스파인더,기타운용사,5000
일신창업투자,벤처투자회사,12000
한림대학교기술지주,기타운용사,2470
부산대학교기술지주,기타운용사,3500
고려대학교기술지주,기타운용사,4000
강원대학교기술지주회사,기타운용사,3400
인텔렉추얼디스커버리,기타법인,22800
인탑스인베스트먼트,신기술사,23000
현대투자파트너스,신기술사,17700
포항공과대학교기술지주,기타운용사,7500
경기창조경제혁신센터,기타운용사,6740
엘에프인베스트먼트,신기술사,20000
린벤처스,벤처투자회사,20000
에이치지이니셔티브,벤처투자회사,7000
미시간벤처캐피탈,벤처투자회사,50000
인포뱅크,기타운용사,5000
소풍벤처스,벤처투자회사,4300
에이스톤벤처스,LLC,22330
패스파인더에이치,벤처투자회사,20000
디쓰리쥬빌리파트너스,벤처투자회사,44000
컴퍼니케이파트너스,벤처투자회사,12000
메이플투자파트너스,벤처투자회사,34000
제이비인베스트먼트,신기술사,40000
삼천리인베스트먼트,신기술사,20000
슈미트,기타운용사,15000
스틱벤처스,벤처투자회사,174100
신한벤처투자,벤처투자회사,37250
씨케이디창업투자,벤처투자회사,20000
에스비아이인베스트먼트,벤처투자회사,101000
엘앤에스벤처캐피탈,벤처투자회사,32500
인라이트벤처스,벤처투자회사,20500
인포뱅크,기타운용사,19050
카카오벤처스,벤처투자회사,44000
케이씨투자파트너스,신기술사,17500
아이비케이벤처투자,신기술사,50000
엔코어벤처스,신기술사,28500
패스파인더에이치,벤처투자회사,15000
아이비케이벤처투자,신기술사,50000
효성벤처스,신기술사,100000
디티앤인베스트먼트,벤처투자회사,30000
뮤렉스파트너스,LLC,25000
케이비인베스트먼트,벤처투자회사,107500
솔리더스인베스트먼트,벤처투자회사,80000
한국벤처투자,벤처투자회사,64700
데브시스터즈벤처스,벤처투자회사,15500
안다아시아벤처스,벤처투자회사,30000
넥스트지인베스트먼트,벤처투자회사,9450
에이치지이니셔티브,벤처투자회사,7750
한국벤처투자,벤처투자회사,20604
나이스투자파트너스,신기술사,33400
데일리파트너스,벤처투자회사,80000
삼호그린인베스트먼트,벤처투자회사,50000
포스코기술투자,신기술사,62500
바인벤처스,벤처투자회사,20000
코난인베스트먼트,벤처투자회사,15500
에이온인베스트먼트,벤처투자회사,21220
세이지원파트너스,벤처투자회사,21500
다성벤처스,벤처투자회사,20000
지앤피인베스트먼트,벤처투자회사,20000
에이오에이캐피탈파트너스,LLC,17000
